year,geotype_name,boro,geo,geo_id,indicator,n,percent_obese
2014,Neighborhood (UHF 34),Queens, Jamaica,408,Obese Adults,"66,000",30.2
2015,Neighborhood (UHF 34),Queens, Jamaica,408,Obese Adults,"67,000",30.1
2016,Neighborhood (UHF 34),Queens, Jamaica,408,Obese Adults,"59,000",26.7
2017,Neighborhood (UHF 34),Queens, Jamaica,408,Obese Adults,"75,000",33.5
2013,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Obese Adults,"16,000",24.5
2014,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Obese Adults,"19,000",27.9
2015,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Obese Adults,"23,000",32.5
2016,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Obese Adults,"18,000",25.2
2017,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Obese Adults,"17,000",23.7
2013,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Obese Adults,"24,000",15.1
2014,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Obese Adults,"47,000",26.7
2015,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Obese Adults,"40,000",23.2
2016,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Obese Adults,"35,000",19.8
2017,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Obese Adults,"41,000",24
2013,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Obese Adults,"43,000",31.3
2014,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Obese Adults,"35,000",24.6
2015,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Obese Adults,"41,000",27.3
2016,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Obese Adults,"57,000",37.5
2017,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Obese Adults,"41,000",27.9
2013,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Obese Adults,"41,000",29.5
2014,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Obese Adults,"41,000",28.9
2015,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Obese Adults,"33,000",23.6
2016,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Obese Adults,"31,000",22.1
2017,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Obese Adults,"43,000",30.2
2013,Neighborhood (UHF 34),Bronx, Pelham - Throgs Neck,104,Obese Adults,"75,000",34.8
2014,Neighborhood (UHF 34),Bronx, Pelham - Throgs Neck,104,Obese Adults,"77,000",34
2015,Neighborhood (UHF 34),Bronx, Pelham - Throgs Neck,104,Obese Adults,"68,000",29.4
2016,Neighborhood (UHF 34),Bronx, Pelham - Throgs Neck,104,Obese Adults,"67,000",29
2017,Neighborhood (UHF 34),Bronx, Pelham - Throgs Neck,104,Obese Adults,"74,000",32
